Score,Cross_Claim_Score,Level,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text,Exclusion_Reason
0.848,0.863,5,TRENT-S06-C30,의화 후 잠벌이 전혀 남지 않는다면 파문 (연옥 신학의 토대),TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,이 잠벌은 현세에서 혹은 사후 연옥에서 갚아야 한다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.848,0.848,5,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,TRENT-S14,고해성사와 병자성사,세례 후 대죄의 사함을 위해 사제 앞 고백은 하느님의 법에 의해 필수이다,죄를 사제에게 낱낱이 고백하지 않고 하느님께 직접 고백하는 것만으로 충분하다.,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.847,0.852,4,CCC-1996,은총은 무상의 선물,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,은총은 하느님의 생명에 참여하도록 부르는 것이다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.846,0.855,3,CCC-1257,세례의 필수성,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,교회는 세례 외에 구원의 다른 수단을 알지 못한다,복음을 모르는 이들에게 하느님이 구원의 기회를 주지 않는다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.845,0.864,4,CCC-1471,면죄부 (Indulgentia),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,면죄부는 합당한 조건을 갖춘 신자에게 적용된다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.842,0.849,3,CCC-1996,은총은 무상의 선물,CCC-2068,계명 준수로 구원,은총은 하느님이 거저 주시는 무상의 선물이다,은총의 상태에 있으면 계명을 지키지 않아도 된다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.842,0.867,4,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,CCC-2181,주일 미사 의무,세례는 선택 사항이 아니라 의무이다,미사 참여는 선택 사항일 뿐이다,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.84,0.882,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1452,완전한 통회 (Contritio Perfecta),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,내적 통회만으로는 어떤 죄도 용서될 수 없다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.838,0.842,4,TRENT-S06-C30,의화 후 잠벌이 전혀 남지 않는다면 파문 (연옥 신학의 토대),CCC-1861,대죄와 은총 상실,이 잠벌은 현세에서 혹은 사후 연옥에서 갚아야 한다,죄로 인해 하느님과의 관계가 단절되지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.838,0.904,4,VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),LG-25,"Lumen Gentium 25항: 교황 통상 교도권에 대한 ""종교적 순종"" 의무",교황이 사도좌에서(ex cathedra) 신앙이나 도덕에 관한 교리를 확정할 때 무류하다,교황의 정의가 교회 전체의 사후 동의를 받아야만 유효해진다는 명제(갈리아주의적 견해),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.836,0.888,3,CCC-1471,면죄부 (Indulgentia),CCC-1452,완전한 통회 (Contritio Perfecta),면죄부는 합당한 조건을 갖춘 신자에게 적용된다,내적 통회만으로는 어떤 죄도 용서될 수 없다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.836,0.858,5,TRENT-S06-C30,의화 후 잠벌이 전혀 남지 않는다면 파문 (연옥 신학의 토대),TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,이 잠벌은 현세에서 혹은 사후 연옥에서 갚아야 한다,의화된 자의 선한 행위에 공로가 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.835,0.845,4,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,고해성사는 그리스도에 의해 제정되었다,세례를 실제로 받지 않은 자는 어떤 경우에도 구원받을 수 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.834,0.883,4,TRENT-S06-C30,의화 후 잠벌이 전혀 남지 않는다면 파문 (연옥 신학의 토대),CCC-1452,완전한 통회 (Contritio Perfecta),이 잠벌은 현세에서 혹은 사후 연옥에서 갚아야 한다,내적 통회만으로는 어떤 죄도 용서될 수 없다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.834,0.857,4,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,성변화 후 성체 안에 현존하시는 그리스도는 하느님께 드리는 최고의 경배인 흠숭지례(latria)로 경배받아야 한다,세례를 실제로 받지 않은 자는 어떤 경우에도 구원받을 수 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.831,0.867,3,CCC-2068,계명 준수로 구원,CCC-0847,교회 밖 구원 가능성,의화된 후에도 하느님의 계명을 지켜야 한다,복음을 듣지 못한 자는 모두 저주받는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.831,0.868,5,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,혼인은 그리스도에 의해 제정된 일곱 성사 중 하나이다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.83,0.878,2,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),소죄를 고백하는 것도 허용되며 유익하다,세례 없이 죽은 유아의 구원을 희망하는 것이 교리에 어긋난다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.829,0.863,5,TRENT-S07-C04,성사가 구원에 불필요하며 믿음만으로 은총을 얻는다면 파문,TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,성사 없이(혹은 성사에 대한 열망 없이) 오직 믿음만으로 의화 은총을 얻는다는 주장은 오류다,오직 믿음만으로(sola fide) 의화된다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.828,0.814,3,CCC-1996,은총은 무상의 선물,CCC-1452,완전한 통회 (Contritio Perfecta),은총은 하느님이 거저 주시는 무상의 선물이다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.828,0.882,4,VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),LG-25,"Lumen Gentium 25항: 교황 통상 교도권에 대한 ""종교적 순종"" 의무",교황의 교의적 정의(definitiones)는 교회의 동의(consensus Ecclesiae)에 의해서가 아니라 그 자체로(ex sese) 개혁 불가능하다,교황의 정의가 교회 전체의 사후 동의를 받아야만 유효해진다는 명제(갈리아주의적 견해),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.827,0.876,4,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-2068,계명 준수로 구원,선한 행위를 통해 영광의 증가를 참으로 얻을 수 있다,은총의 상태에 있으면 계명을 지키지 않아도 된다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.826,0.693,4,CCC-1257,세례의 필수성,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,교회는 세례 외에 구원의 다른 수단을 알지 못한다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.826,0.843,4,CCC-1861,대죄와 은총 상실,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,회개하지 않은 대죄는 영원한 지옥의 벌을 가져온다,인간의 행위로 은총이나 영원한 생명이 증가될 수 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.825,0.826,3,CCC-0847,교회 밖 구원 가능성,CCC-1861,대죄와 은총 상실,양심의 명령에 따라 하느님의 뜻을 실천하려는 노력이 필요하다,죄로 인해 하느님과의 관계가 단절되지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.824,0.855,3,CCC-1257,세례의 필수성,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,교회는 세례 외에 구원의 다른 수단을 알지 못한다,세례를 실제로 받지 않은 자는 어떤 경우에도 구원받을 수 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.824,0.849,3,CCC-1996,은총은 무상의 선물,CCC-2068,계명 준수로 구원,은총은 하느님이 거저 주시는 무상의 선물이다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.823,0.866,4,CDF-DOMINUS,Dominus Iesus (구원의 유일성과 가톨릭 교회),COUNCIL-LATERAN_IV,교회 밖 구원 없음과 화체설,"가톨릭 교회만이 구원의 보편적 성사이며, 오직 가톨릭 교회 안에만 그리스도의 교회가 온전히 존재한다(subsistit in).",가톨릭 교회에 속하지 않은 타 종파 신자나 이교도도 구원받을 수 있다.,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.821,0.887,3,CCC-2068,계명 준수로 구원,CCC-1452,완전한 통회 (Contritio Perfecta),행해야 할 것과 피해야 할 것 모두 구원에 관련된다,내적 통회만으로는 어떤 죄도 용서될 수 없다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.821,0.906,4,CCC-2068,계명 준수로 구원,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,인간의 행위로 은총이나 영원한 생명이 증가될 수 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.821,0.904,4,VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),LG-25,"Lumen Gentium 25항: 교황 통상 교도권에 대한 ""종교적 순종"" 의무",교황이 사도좌에서(ex cathedra) 신앙이나 도덕에 관한 교리를 확정할 때 무류하다,교황의 통상적(비-ex cathedra) 가르침에는 신자가 순종할 의무가 없고 오직 ex cathedra 선언만 구속력이 있다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
