Score,Level,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text,LLM_Decision,LLM_Reason,LLM_Decision,LLM_Reason
0.931,,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,NO,"A는 선한 행위의 역할을, B가 단죄하는 것은 믿음만의 충분성을 다루므로, 두 명제는 보완적이지 정면 충돌하지 않습니다.",NO,"A는 선한 행위의 역할을, B가 단죄하는 것은 믿음만의 충분성을 다루므로, 두 명제는 보완적이지 정면 충돌하지 않습니다."
0.931,4,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,CCC-2181,주일 미사 의무,소죄를 고백하는 것도 허용되며 유익하다,미사 불참은 죄가 되지 않는다,NO,A는 소죄 고백의 유익함을 긍정하는 것이고 B는 미사 불참 무죄론을 단죄하는 것으로 서로 다른 주제라 충돌하지 않는다.,NO,A는 소죄 고백의 유익함을 긍정하는 것이고 B는 미사 불참 무죄론을 단죄하는 것으로 서로 다른 주제라 충돌하지 않는다.
0.93,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1250,유아 세례의 필요성 (원죄로부터의 해방),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,세례받지 않은 유아도 이미 하느님 자녀의 자유 안에 있다는 명제,NO,"A는 인간 존엄에 관한 명제이고 B가 단죄하는 것은 미세례 유아의 신분에 관한 것으로, 두 명제는 전혀 다른 주제를 다루며 사실상 동일하지 않다.",NO,"A는 인간 존엄에 관한 명제이고 B가 단죄하는 것은 미세례 유아의 신분에 관한 것으로, 두 명제는 전혀 다른 주제를 다루며 사실상 동일하지 않다."
0.93,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,소죄를 고백하는 것도 허용되며 유익하다,의화에 인간 의지의 어떤 준비도 필요 없다는 명제,NO,A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 의화 준비에 관한 것으로 서로 무관한 주제이다.,NO,A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 의화 준비에 관한 것으로 서로 무관한 주제이다.
0.929,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1452,완전한 통회 (Contritio Perfecta),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,NO,A는 살인자의 존엄에 관한 것이고 B가 단죄하는 것은 대죄 용서와 사제 사죄의 관계에 관한 것으로 전혀 다른 명제이다.,NO,A는 살인자의 존엄에 관한 것이고 B가 단죄하는 것은 대죄 용서와 사제 사죄의 관계에 관한 것으로 전혀 다른 명제이다.
0.929,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,의화에 인간 의지의 어떤 준비도 필요 없다는 명제,NO,A는 인간 존엄에 관한 명제이고 B가 단죄하는 것은 의화 준비 필요성에 관한 것으로 주제가 무관하다.,NO,A는 인간 존엄에 관한 명제이고 B가 단죄하는 것은 의화 준비 필요성에 관한 것으로 주제가 무관하다.
0.925,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,NO,A는 살인자의 존엄에 관한 것이고 B가 단죄하는 것은 세례 없는 믿음만의 구원에 관한 것으로 서로 무관하다.,NO,A는 살인자의 존엄에 관한 것이고 B가 단죄하는 것은 세례 없는 믿음만의 구원에 관한 것으로 서로 무관하다.
0.924,,CCC-1996,은총은 무상의 선물,CCC-1861,대죄와 은총 상실,은총은 하느님의 생명에 참여하도록 부르는 것이다,죄로 인해 하느님과의 관계가 단절되지 않는다,NO,A는 은총의 정의이고 B가 단죄하는 것은 죄의 영적 효과이므로 서로 다른 내용입니다.,NO,A는 은총의 정의이고 B가 단죄하는 것은 죄의 영적 효과이므로 서로 다른 내용입니다.
0.924,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",UNAM-SANCTAM,교황 복종이 구원에 절대 필요,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,교황에 대한 복종 없이도 구원받을 수 있다는 명제,NO,A는 인간 존엄에 관한 명제이고 B가 단죄하는 것은 교황 복종 없는 구원 가능성에 관한 것으로 전혀 다른 주제이다.,NO,A는 인간 존엄에 관한 명제이고 B가 단죄하는 것은 교황 복종 없는 구원 가능성에 관한 것으로 전혀 다른 주제이다.
0.924,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,소죄를 고백하는 것도 허용되며 유익하다,교황에 대한 복종 없이도 구원받을 수 있다는 명제,NO,A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 교황 복종과 구원의 관계로 무관한 명제이다.,NO,A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 교황 복종과 구원의 관계로 무관한 명제이다.
0.923,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,소죄를 고백하는 것도 허용되며 유익하다,의화된 자의 선한 행위에 공로가 없다는 명제,NO,A는 소죄 고백에 관한 것이고 B가 단죄하는 것은 선행의 공로 여부에 관한 것으로 서로 다른 주제이다.,NO,A는 소죄 고백에 관한 것이고 B가 단죄하는 것은 선행의 공로 여부에 관한 것으로 서로 다른 주제이다.
0.922,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1261,세례 없이 죽은 유아의 구원 희망,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,세례 없이 죽은 유아를 위해 교회가 아무것도 할 수 없다는 명제,NO,A는 살인자의 존엄에 관한 것이고 B가 단죄하는 것은 미세례 사망 유아를 위한 교회의 역할에 관한 것으로 무관하다.,NO,A는 살인자의 존엄에 관한 것이고 B가 단죄하는 것은 미세례 사망 유아를 위한 교회의 역할에 관한 것으로 무관하다.
0.922,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-2068,계명 준수로 구원,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,은총의 상태에 있으면 계명을 지키지 않아도 된다,NO,A는 인간 존엄에 관한 명제이고 B가 단죄하는 것은 은총 상태와 계명 준수의 관계에 관한 것으로 전혀 다른 주제이다.,NO,A는 인간 존엄에 관한 명제이고 B가 단죄하는 것은 은총 상태와 계명 준수의 관계에 관한 것으로 전혀 다른 주제이다.
0.922,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",AMORIS-LAETITIA-CH8,재혼자 성체 접근 암시,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,비정규적 상황에 있는 이들에 대해 어떤 식별 과정도 필요 없다는 명제,NO,"A는 살인자의 인격적 존엄에 관한 명제이고 B가 단죄하는 것은 비정규 상황자에 대한 식별 과정 생략 문제로, 서로 다른 주제를 다루므로 명제가 동일하지 않다.",NO,"A는 살인자의 인격적 존엄에 관한 명제이고 B가 단죄하는 것은 비정규 상황자에 대한 식별 과정 생략 문제로, 서로 다른 주제를 다루므로 명제가 동일하지 않다."
0.921,3,CCC-1257,세례의 필수성,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",교회는 세례 외에 구원의 다른 수단을 알지 못한다,교회가 구원과 무관하다는 명제,NO,"A(세례가 유일한 구원 수단)는 오히려 교회(세례)의 구원 필수성을 강조하는 주장으로, B가 단죄하는 '교회가 구원과 무관하다'는 명제와 반대되는 입장이다. 즉 둘 다 교회의 구원적 역할을 긍정하는 같은 편이므로 충돌이 아니다.",NO,"A(세례가 유일한 구원 수단)는 오히려 교회(세례)의 구원 필수성을 강조하는 주장으로, B가 단죄하는 '교회가 구원과 무관하다'는 명제와 반대되는 입장이다. 즉 둘 다 교회의 구원적 역할을 긍정하는 같은 편이므로 충돌이 아니다."
0.921,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,소죄를 고백하는 것도 허용되며 유익하다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,NO,A는 소죄 고백의 유익함에 관한 명제이고 B가 단죄하는 것은 세례 없는 이신칭의(信仁稱義)에 관한 명제로 전혀 다른 주제다.,NO,A는 소죄 고백의 유익함에 관한 명제이고 B가 단죄하는 것은 세례 없는 이신칭의(信仁稱義)에 관한 명제로 전혀 다른 주제다.
0.92,,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,NO,"A가 주장하는 바(고해성사 필요)와 B가 단죄하는 바(사제 없이 직접 고백 가능)는 반대 방향이므로, 같은 명제를 함께 배격하는 동일 입장입니다.",NO,"A가 주장하는 바(고해성사 필요)와 B가 단죄하는 바(사제 없이 직접 고백 가능)는 반대 방향이므로, 같은 명제를 함께 배격하는 동일 입장입니다."
0.92,5,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,고해성사는 그리스도에 의해 제정되었다,성체 안의 그리스도가 흠숭받을 대상이 아니라는 명제,NO,"A는 고해성사의 그리스도 제정 여부이고 B가 단죄하는 것은 성체 흠숭 거부 명제로, 서로 다른 성사를 다루는 무관한 주제다.",NO,"A는 고해성사의 그리스도 제정 여부이고 B가 단죄하는 것은 성체 흠숭 거부 명제로, 서로 다른 성사를 다루는 무관한 주제다."
0.919,,CCC-1452,완전한 통회 (Contritio Perfecta),CCC-1471,면죄부 (Indulgentia),완전한 통회는 소죄의 용서를 가져온다,죄의 용서와 함께 모든 벌도 완전히 제거된다,NO,"A는 소죄의 용서에 관한 반면 B가 단죄하는 것은 벌의 완전 제거에 관한 것으로, 서로 다른 차원의 명제입니다.",NO,"A는 소죄의 용서에 관한 반면 B가 단죄하는 것은 벌의 완전 제거에 관한 것으로, 서로 다른 차원의 명제입니다."
0.918,,CCC-1996,은총은 무상의 선물,CCC-2068,계명 준수로 구원,은총은 하느님의 생명에 참여하도록 부르는 것이다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,NO,"A는 은총의 정의이고 B가 단죄하는 것은 신앙의 지속성에 관한 것으로, 사실상 동일한 명제가 아닙니다.",NO,"A는 은총의 정의이고 B가 단죄하는 것은 신앙의 지속성에 관한 것으로, 사실상 동일한 명제가 아닙니다."
0.918,3,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,CCC-1261,세례 없이 죽은 유아의 구원 희망,소죄를 고백하는 것도 허용되며 유익하다,세례 없이 죽은 유아를 위해 교회가 아무것도 할 수 없다는 명제,NO,"A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 세례 없이 죽은 유아에 대한 교회의 무력함 주장으로, 서로 다른 주제라 명제가 일치하지 않는다.",NO,"A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 세례 없이 죽은 유아에 대한 교회의 무력함 주장으로, 서로 다른 주제라 명제가 일치하지 않는다."
0.917,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,간통을 이유로 혼인의 유대가 해소될 수 있다는 명제,NO,"A는 살인자의 인격적 존엄에 관한 것이고 B가 단죄하는 것은 간통으로 인한 혼인 유대 해소 가능성으로, 전혀 다른 주제다.",NO,"A는 살인자의 인격적 존엄에 관한 것이고 B가 단죄하는 것은 간통으로 인한 혼인 유대 해소 가능성으로, 전혀 다른 주제다."
0.917,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,소죄를 고백하는 것도 허용되며 유익하다,간통을 이유로 혼인의 유대가 해소될 수 있다는 명제,NO,"A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 간통으로 인한 혼인 유대 해소 가능성으로, 서로 무관한 주제다.",NO,"A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 간통으로 인한 혼인 유대 해소 가능성으로, 서로 무관한 주제다."
0.916,,CCC-1861,대죄와 은총 상실,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,대죄는 하느님과의 관계를 단절시킨다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,NO,A는 대죄의 영적 효과를 설명하는 반면 B가 단죄하는 것은 고백의 방식(사제 필요성)이므로 다른 주제입니다.,NO,A는 대죄의 영적 효과를 설명하는 반면 B가 단죄하는 것은 고백의 방식(사제 필요성)이므로 다른 주제입니다.
0.916,4,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,CCC-1250,유아 세례의 필요성 (원죄로부터의 해방),소죄를 고백하는 것도 허용되며 유익하다,세례받지 않은 유아도 이미 하느님 자녀의 자유 안에 있다는 명제,NO,"A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 세례받지 않은 유아의 하느님 자녀 자유 상태 주장으로, 서로 다른 주제다.",NO,"A는 소죄 고백의 유익함에 관한 것이고 B가 단죄하는 것은 세례받지 않은 유아의 하느님 자녀 자유 상태 주장으로, 서로 다른 주제다."
0.916,4,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,CCC-1452,완전한 통회 (Contritio Perfecta),소죄를 고백하는 것도 허용되며 유익하다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,NO,"A는 소죄(venial sin) 고백의 권장 사항이고 B가 단죄하는 것은 대죄(mortal sin) 용서에 있어 사제 사죄의 선행 필요성에 관한 것으로, 죄의 종류와 논점이 달라 동일 명제가 아니다.",NO,"A는 소죄(venial sin) 고백의 권장 사항이고 B가 단죄하는 것은 대죄(mortal sin) 용서에 있어 사제 사죄의 선행 필요성에 관한 것으로, 죄의 종류와 논점이 달라 동일 명제가 아니다."
0.915,,CCC-1861,대죄와 은총 상실,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,대죄는 하느님과의 관계를 단절시킨다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,NO,A는 대죄의 효과를 다루고 B가 단죄하는 것은 고해성사의 신적 제정에 관한 것으로 서로 다른 신학적 명제입니다.,NO,A는 대죄의 효과를 다루고 B가 단죄하는 것은 고해성사의 신적 제정에 관한 것으로 서로 다른 신학적 명제입니다.
0.915,,CCC-1861,대죄와 은총 상실,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,대죄는 하느님과의 관계를 단절시킨다,복음을 모르는 이들에게 하느님이 구원의 기회를 주지 않는다는 명제,NO,A는 대죄의 영적 결과를 설명하고 B가 단죄하는 것은 하느님의 구원 의지에 관한 것으로 무관한 주제입니다.,NO,A는 대죄의 영적 결과를 설명하고 B가 단죄하는 것은 하느님의 구원 의지에 관한 것으로 무관한 주제입니다.
0.915,,CCC-2068,계명 준수로 구원,CCC-0847,교회 밖 구원 가능성,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,복음을 듣지 못한 자는 모두 저주받는다,NO,A는 도덕적 행위와 구원의 관련성을 주장하고 B가 단죄하는 것은 복음 미전파자의 구원 가능성에 관한 것으로 다른 신학적 질문입니다.,NO,A는 도덕적 행위와 구원의 관련성을 주장하고 B가 단죄하는 것은 복음 미전파자의 구원 가능성에 관한 것으로 다른 신학적 질문입니다.
0.915,,CCC-2068,계명 준수로 구원,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,NO,"A의 '행위 필요' 주장과 B의 '세례 필요(믿음만으로는 불가)' 입장이 같은 방향이므로, 함께 배격하는 동일 입장.",NO,"A의 '행위 필요' 주장과 B의 '세례 필요(믿음만으로는 불가)' 입장이 같은 방향이므로, 함께 배격하는 동일 입장."
0.915,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1261,세례 없이 죽은 유아의 구원 희망,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,세례받지 못한 유아에게는 어떠한 구원의 길도 존재할 수 없다는 명제,NO,"A는 살인자의 인격적 존엄에 관한 것이고 B가 단죄하는 것은 세례받지 못한 유아의 구원 가능성 부재 주장으로, 서로 다른 주제다.",NO,"A는 살인자의 인격적 존엄에 관한 것이고 B가 단죄하는 것은 세례받지 못한 유아의 구원 가능성 부재 주장으로, 서로 다른 주제다."
0.914,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-1861,대죄와 은총 상실,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,죄로 인해 하느님과의 관계가 단절되지 않는다,NO,"A는 살인자의 인격적 존엄에 관한 주장이고 B가 단죄하는 것은 죄와 하느님 관계 단절 여부에 관한 것으로, 서로 다른 명제를 다룬다.",NO,"A는 살인자의 인격적 존엄에 관한 주장이고 B가 단죄하는 것은 죄와 하느님 관계 단절 여부에 관한 것으로, 서로 다른 명제를 다룬다."
0.913,2,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,AMORIS-LAETITIA-CH8,재혼자 성체 접근 암시,소죄를 고백하는 것도 허용되며 유익하다,비정규적 상황에 있는 이들에 대해 어떤 식별 과정도 필요 없다는 명제,NO,"A는 소죄 고백의 허용·유익성에 관한 것이고 B는 비정규 상황자에 대한 식별 과정 생략 문제로, 주제와 주장이 전혀 다르다.",NO,"A는 소죄 고백의 허용·유익성에 관한 것이고 B는 비정규 상황자에 대한 식별 과정 생략 문제로, 주제와 주장이 전혀 다르다."
0.912,5,TRENT-S06-C13,죄 사함을 흔들림 없이 확신해야 한다면 파문,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,죄 사함을 얻기 위해 자신이 확실히 용서받았다고 조금의 흔들림도 없이 믿어야 하는 것은 아니다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,NO,A는 죄 사함에 대한 주관적 확신 필요 여부를 다루고 B는 사제 없는 직접 고백의 유효성을 다루는 것으로 별개의 명제다.,NO,A는 죄 사함에 대한 주관적 확신 필요 여부를 다루고 B는 사제 없는 직접 고백의 유효성을 다루는 것으로 별개의 명제다.
0.91,,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,CCC-0847,교회 밖 구원 가능성,"하나이고 거룩한 가톨릭 사도 교회 밖에는 구원도, 죄의 사함도 없다 (Extra Ecclesiam nulla salus)",교회 밖에는 어떤 구원도 절대적으로 불가능하다 (Extra Ecclesiam nulla salus의 절대적 해석),YES,A의 절대적 주장 '교회 밖 구원 불가'와 B가 단죄하는 명제 '절대적으로 교회 밖 구원 불가'가 사실상 동일하여 정면 충돌.,YES,A의 절대적 주장 '교회 밖 구원 불가'와 B가 단죄하는 명제 '절대적으로 교회 밖 구원 불가'가 사실상 동일하여 정면 충돌.
0.91,,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-2068,계명 준수로 구원,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,NO,"A는 '행위로 생명 획득' 주장, B는 '행위 없이 구원 유지'를 단죄하므로 함께 행위 필요를 배격하는 입장.",NO,"A는 '행위로 생명 획득' 주장, B는 '행위 없이 구원 유지'를 단죄하므로 함께 행위 필요를 배격하는 입장."
0.909,4,CCC-1996,은총은 무상의 선물,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,은총은 하느님의 생명에 참여하도록 부르는 것이다,성체 안의 그리스도가 흠숭받을 대상이 아니라는 명제,NO,A는 은총의 정의(하느님 생명 참여)에 관한 것이고 B는 성체 흠숭 여부에 관한 것으로 아무 관련이 없다.,NO,A는 은총의 정의(하느님 생명 참여)에 관한 것이고 B는 성체 흠숭 여부에 관한 것으로 아무 관련이 없다.
