Score,Level,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text
0.909,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,비그리스도교에는 어떤 참되거나 거룩한 것도 없다는 명제
0.908,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",CCC-2068,계명 준수로 구원,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다
0.907,3,CCC-1452,완전한 통회 (Contritio Perfecta),CCC-2181,주일 미사 의무,완전한 통회는 소죄의 용서를 가져온다,미사 불참은 죄가 되지 않는다
0.907,3,CCC-1996,은총은 무상의 선물,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,은총은 하느님의 생명에 참여하도록 부르는 것이다,복음을 모르는 이들에게 하느님이 구원의 기회를 주지 않는다는 명제
0.907,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제
0.907,5,TRENT-S13-C02,화체설을 부정하고 빵의 실체가 남아있다면 파문 (공재설 단죄),TRENT-S13,성체성사와 화체설,축성 후 빵의 실체 전체가 그리스도 몸의 실체로 변화한다 (실체의 완전한 전환),"성체 안에 그리스도의 몸과 함께 빵의 실체도 그대로 남아 있다(공재설, 루터 반박)."
0.906,4,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,"하나이고 거룩한 가톨릭 사도 교회 밖에는 구원도, 죄의 사함도 없다 (Extra Ecclesiam nulla salus)",가시적 교회 밖에는 구원이 전혀 없다는 엄격한 해석 (Extra Ecclesiam nulla salus의 배타적 해석)
0.905,3,CCC-2068,계명 준수로 구원,CCC-2181,주일 미사 의무,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,미사 불참은 죄가 되지 않는다
0.903,3,CCC-1861,대죄와 은총 상실,CCC-2068,계명 준수로 구원,대죄는 하느님과의 관계를 단절시킨다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다
0.903,4,CCC-1996,은총은 무상의 선물,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,은총은 하느님의 생명에 참여하도록 부르는 것이다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제
0.903,4,TRENT-S06-C30,의화 후 잠벌이 전혀 남지 않는다면 파문 (연옥 신학의 토대),CCC-1452,완전한 통회 (Contritio Perfecta),이 잠벌은 현세에서 혹은 사후 연옥에서 갚아야 한다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다
0.903,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S25-INDULGENCES,대사 교령: 교회의 대사 수여권을 부정하면 파문,소죄를 고백하는 것도 허용되며 유익하다,대사가 무익하다는 명제
0.902,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,이단이나 동거 불가를 이유로 혼인이 해소될 수 있다는 명제
0.902,5,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,소죄를 고백하는 것도 허용되며 유익하다,이단이나 동거 불가를 이유로 혼인이 해소될 수 있다는 명제
0.901,3,CCC-1452,완전한 통회 (Contritio Perfecta),CCC-2068,계명 준수로 구원,완전한 통회는 소죄의 용서를 가져온다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다
0.901,4,CCC-1861,대죄와 은총 상실,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,대죄는 하느님과의 관계를 단절시킨다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제
0.9,3,CCC-1861,대죄와 은총 상실,CCC-1452,완전한 통회 (Contritio Perfecta),대죄는 하느님과의 관계를 단절시킨다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다
0.9,3,CCC-1996,은총은 무상의 선물,CCC-2181,주일 미사 의무,은총은 하느님의 생명에 참여하도록 부르는 것이다,미사 불참은 죄가 되지 않는다
0.9,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S25-INDULGENCES,대사 교령: 교회의 대사 수여권을 부정하면 파문,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,대사가 무익하다는 명제
0.9,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,복음을 모르는 이들에게 하느님이 구원의 기회를 주지 않는다는 명제
0.9,4,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-2181,주일 미사 의무,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,미사 불참은 죄가 되지 않는다
0.899,3,CCC-1452,완전한 통회 (Contritio Perfecta),CCC-1471,면죄부 (Indulgentia),고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,죄의 용서와 함께 모든 벌도 완전히 제거된다
0.899,4,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제
0.899,4,CCC-1996,은총은 무상의 선물,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,은총은 하느님의 생명에 참여하도록 부르는 것이다,교황에 대한 복종 없이도 구원받을 수 있다는 명제
0.899,2,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),CCC-1452,완전한 통회 (Contritio Perfecta),교도권이 통상적 가르침에서 림보를 언급한 적은 있음을 인정한다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다
0.899,4,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,CCC-2010,공로 (Meritum),소죄를 고백하는 것도 허용되며 유익하다,선행은 구원에 아무런 기여도 하지 않는다
0.898,4,CCC-1471,면죄부 (Indulgentia),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,면죄부는 합당한 조건을 갖춘 신자에게 적용된다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제
0.898,2,CCC-1861,대죄와 은총 상실,NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,대죄는 하느님과의 관계를 단절시킨다,유대인이 하느님께 버림받았거나 저주받았다는 명제
0.898,2,CCC-1996,은총은 무상의 선물,NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,은총은 하느님의 생명에 참여하도록 부르는 것이다,유대인이 하느님께 버림받았거나 저주받았다는 명제
0.898,5,TRENT-S06-C03,성령의 선행 은총 없이 스스로 믿을 수 있다면 파문,TRENT-S06-C14,자신이 사함받았다고 믿기 때문에 참으로 의롭다면 파문,믿음의 행위 자체가 이미 은총의 결과이다 (은총의 절대적 우선성),자기 확신적 믿음 자체가 의화를 구성한다는 명제
0.897,4,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,완전한 통회는 소죄의 용서를 가져온다,세례 없이도 믿음만으로 구원받을 수 있다는 명제
0.897,2,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,교도권이 통상적 가르침에서 림보를 언급한 적은 있음을 인정한다,의화된 자의 선한 행위에 공로가 없다는 명제
0.897,2,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,교도권이 통상적 가르침에서 림보를 언급한 적은 있음을 인정한다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제
0.897,4,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,CCC-1861,대죄와 은총 상실,성변화 후 성체 안에 현존하시는 그리스도는 하느님께 드리는 최고의 경배인 흠숭지례(latria)로 경배받아야 한다,죄로 인해 하느님과의 관계가 단절되지 않는다
0.897,5,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,TRENT-S22-C03,미사가 속죄 제사가 아니라 단순한 찬미/기념일 뿐이라면 파문,성변화 후 성체 안에 현존하시는 그리스도는 하느님께 드리는 최고의 경배인 흠숭지례(latria)로 경배받아야 한다,미사가 단지 찬미와 감사의 제사일 뿐 속죄 제사가 아니라는 명제 (개신교적 성찬관)
0.896,3,CCC-2068,계명 준수로 구원,CCC-1257,세례의 필수성,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,세례 없이도 통상적으로 구원될 수 있다
0.896,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,유대인이 하느님께 버림받았거나 저주받았다는 명제
0.895,3,CCC-1996,은총은 무상의 선물,CCC-1250,유아 세례의 필요성 (원죄로부터의 해방),은총은 하느님의 생명에 참여하도록 부르는 것이다,세례받지 않은 유아도 이미 하느님 자녀의 자유 안에 있다는 명제
0.895,3,CCC-2181,주일 미사 의무,CCC-1452,완전한 통회 (Contritio Perfecta),고의로 미사 의무를 이행하지 않는 것은 대죄이다,내적 통회만으로는 어떤 죄도 용서될 수 없다
0.895,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,세례 없이 죽은 유아는 반드시 림보에 머문다는 명제
0.895,5,TRENT-S06-C03,성령의 선행 은총 없이 스스로 믿을 수 있다면 파문,TRENT-S06-C12,의화시키는 믿음이 단지 자비에 대한 확신일 뿐이라면 파문,믿음의 행위 자체가 이미 은총의 결과이다 (은총의 절대적 우선성),그 확신 하나만으로 의화가 이루어진다는 명제 (종교개혁적 신앙 개념 비판)
0.894,3,CCC-0847,교회 밖 구원 가능성,CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),교회의 가시적 경계 밖에서도 구원의 가능성이 존재한다,교회가 여러 구원의 길 가운데 하나에 불과하다는 명제
0.894,4,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S22-C01,미사는 참된 속죄 제사,"무슬림은 아브라함의 신앙을 지니고 있다고 공언하며, 유일하신 하느님을 경배한다",그리스도의 십자가 희생이 유일하며 미사에서 반복/재현될 수 없다는 명제
0.893,3,CCC-0847,교회 밖 구원 가능성,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",교회의 가시적 경계 밖에서도 구원의 가능성이 존재한다,교회가 구원과 무관하다는 명제
0.893,4,CCC-1471,면죄부 (Indulgentia),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,면죄부는 합당한 조건을 갖춘 신자에게 적용된다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제
0.893,4,CCC-1861,대죄와 은총 상실,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,대죄는 하느님과의 관계를 단절시킨다,성체 안의 그리스도가 흠숭받을 대상이 아니라는 명제
0.893,2,CCC-1861,대죄와 은총 상실,NA-02,"Nostra Aetate 2항: 타 종교 안에 있는 ""참되고 거룩한 것""의 인정",대죄는 하느님과의 관계를 단절시킨다,타 종교에는 참되거나 거룩한 요소가 전혀 없다는 명제
0.893,2,CCC-1996,은총은 무상의 선물,NA-02,"Nostra Aetate 2항: 타 종교 안에 있는 ""참되고 거룩한 것""의 인정",은총은 하느님의 생명에 참여하도록 부르는 것이다,타 종교에는 참되거나 거룩한 요소가 전혀 없다는 명제
0.893,4,CCC-2068,계명 준수로 구원,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,의화된 후에도 하느님의 계명을 지켜야 한다,세례 없이도 믿음만으로 구원받을 수 있다는 명제
0.893,3,CCC-2068,계명 준수로 구원,CCC-2010,공로 (Meritum),행해야 할 것과 피해야 할 것 모두 구원에 관련된다,선행은 구원에 아무런 기여도 하지 않는다
0.893,1,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",NA-02,"Nostra Aetate 2항: 타 종교 안에 있는 ""참되고 거룩한 것""의 인정",아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,타 종교에는 참되거나 거룩한 요소가 전혀 없다는 명제
0.893,4,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-1250,유아 세례의 필요성 (원죄로부터의 해방),선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,세례받지 않은 유아도 이미 하느님 자녀의 자유 안에 있다는 명제
0.893,4,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-1861,대죄와 은총 상실,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,죄로 인해 하느님과의 관계가 단절되지 않는다
0.892,4,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,완전한 통회는 소죄의 용서를 가져온다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제
0.892,2,CCC-1861,대죄와 은총 상실,NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,대죄는 하느님과의 관계를 단절시킨다,비그리스도교에는 어떤 참되거나 거룩한 것도 없다는 명제
