Score,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text,Hit_Filters,Combo_Name
0.897,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,완전한 통회는 소죄의 용서를 가져온다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.893,CCC-1471,면죄부 (Indulgentia),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,면죄부는 합당한 조건을 갖춘 신자에게 적용된다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,F2_RUPTURE | F3_TOLLENS | F5_GOALPOST | F6_RETORSION,COMBO-03_SALVATION
0.893,CCC-2068,계명 준수로 구원,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,의화된 후에도 하느님의 계명을 지켜야 한다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.891,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-1257,세례의 필수성,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,세례 없이도 통상적으로 구원될 수 있다,F2_RUPTURE | F3_TOLLENS | F4_ACTION_DOC,COMBO-03_SALVATION
0.889,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,CCC-1861,대죄와 은총 상실,고해성사는 그리스도에 의해 제정되었다,죄로 인해 하느님과의 관계가 단절되지 않는다,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.886,CCC-1861,대죄와 은총 상실,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,대죄는 하느님과의 관계를 단절시킨다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.883,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-1452,완전한 통회 (Contritio Perfecta),선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,F2_RUPTURE | F3_TOLLENS | F4_ACTION_DOC | F6_RETORSION,COMBO-03_SALVATION
0.882,CCC-2068,계명 준수로 구원,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,의화된 후에도 하느님의 계명을 지켜야 한다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.882,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,선한 행위를 통해 영광의 증가를 참으로 얻을 수 있다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS | F4_ACTION_DOC,COMBO-03_SALVATION
0.881,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,완전한 통회는 소죄의 용서를 가져온다,간통을 이유로 혼인의 유대가 해소될 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.879,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S22-C01,미사는 참된 속죄 제사,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,그리스도의 십자가 희생이 유일하며 미사에서 반복/재현될 수 없다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.879,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,"무슬림은 아브라함의 신앙을 지니고 있다고 공언하며, 유일하신 하느님을 경배한다",고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.878,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,F2_RUPTURE | F3_TOLLENS | F4_ACTION_DOC | F6_RETORSION,COMBO-03_SALVATION
0.874,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.874,TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,CCC-1257,세례의 필수성,믿음만으로는 의화에 충분하지 않다 — 행위와 성사적 참여가 함께 요구된다,내적 믿음만으로 세례 없이 충분하다 (통상적 경우),F2_RUPTURE | F3_TOLLENS | F4_ACTION_DOC,COMBO-03_SALVATION
0.874,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,고해성사는 그리스도에 의해 제정되었다,유대인이 하느님께 버림받았거나 저주받았다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.873,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,완전한 통회는 소죄의 용서를 가져온다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.873,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,"무슬림은 아브라함의 신앙을 지니고 있다고 공언하며, 유일하신 하느님을 경배한다",사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.872,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S22-C01,미사는 참된 속죄 제사,완전한 통회는 소죄의 용서를 가져온다,미사에 속죄적 가치가 없다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.869,CCC-1452,완전한 통회 (Contritio Perfecta),CCC-0847,교회 밖 구원 가능성,완전한 통회는 소죄의 용서를 가져온다,복음을 듣지 못한 자는 모두 저주받는다,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.869,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,CCC-0847,교회 밖 구원 가능성,세례는 선택 사항이 아니라 의무이다,세례를 받지 않으면 어떤 경우에도 구원될 수 없다,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.869,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,고해성사는 그리스도에 의해 제정되었다,비그리스도교에는 어떤 참되거나 거룩한 것도 없다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.868,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,TRENT-S22-C01,미사는 참된 속죄 제사,고해성사는 그리스도에 의해 제정되었다,그리스도의 십자가 희생이 유일하며 미사에서 반복/재현될 수 없다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.867,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,완전한 통회는 소죄의 용서를 가져온다,이단이나 동거 불가를 이유로 혼인이 해소될 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.865,CCC-1996,은총은 무상의 선물,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,은총은 하느님의 생명에 참여하도록 부르는 것이다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.862,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,신적 섭리는 이런 사람들에게 구원에 필요한 도움을 거부하지 않는다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.859,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,완전한 통회는 소죄의 용서를 가져온다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.856,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S22-C01,미사는 참된 속죄 제사,완전한 통회는 소죄의 용서를 가져온다,그리스도의 십자가 희생이 유일하며 미사에서 반복/재현될 수 없다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.856,CCC-1452,완전한 통회 (Contritio Perfecta),LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,완전한 통회는 소죄의 용서를 가져온다,세례를 실제로 받지 않은 자는 어떤 경우에도 구원받을 수 없다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.856,CCC-1452,완전한 통회 (Contritio Perfecta),LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,완전한 통회는 소죄의 용서를 가져온다,복음을 모르는 이들에게 하느님이 구원의 기회를 주지 않는다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.855,CCC-1452,완전한 통회 (Contritio Perfecta),LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,세례를 실제로 받지 않은 자는 어떤 경우에도 구원받을 수 없다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.854,CCC-1452,완전한 통회 (Contritio Perfecta),LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,복음을 모르는 이들에게 하느님이 구원의 기회를 주지 않는다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.851,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,고해성사 이전에도 대죄의 용서가 가능하다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.851,CCC-1861,대죄와 은총 상실,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,회개하지 않은 대죄는 영원한 지옥의 벌을 가져온다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.851,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,FIDUCIA-SUPPLICANS,동성 커플 축복 허용,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,비정규적 결합에 있는 사람에 대해 어떤 형태의 축복도 줄 수 없다는 명제,F2_RUPTURE | F4_ACTION_DOC,COMBO-05_MORAL_COLLAPSE
0.849,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,고해성사는 그리스도에 의해 제정되었다,복음을 모르는 이들에게 하느님이 구원의 기회를 주지 않는다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.848,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,"무슬림은 아브라함의 신앙을 지니고 있다고 공언하며, 유일하신 하느님을 경배한다",사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.847,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,완전한 통회는 소죄의 용서를 가져온다,의화에 인간 의지의 어떤 준비도 필요 없다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.847,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,완전한 통회는 소죄의 용서를 가져온다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.847,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.846,TRENT-S05,원죄 교령,CCC-1471_1479,"대사 (면죄부, Indulgentia)","세례는 원죄의 죄책을 완전히 사면하며, 영아들도 원죄를 씻기 위해 세례가 필수적이다.",죄의 용서(고해)와 동시에 그 죄로 인한 모든 벌(잠벌 포함)이 완전히 단번에 사면된다.,F1_REDUCTIO | F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.843,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,FIDUCIA-SUPPLICANS,동성 커플 축복 허용,선한 행위를 통해 영광의 증가를 참으로 얻을 수 있다,비정규적 결합에 있는 사람에 대해 어떤 형태의 축복도 줄 수 없다는 명제,F2_RUPTURE | F4_ACTION_DOC,COMBO-05_MORAL_COLLAPSE
0.843,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,CCC-1030,연옥,고해성사는 그리스도에 의해 제정되었다,그리스도의 속죄가 모든 시간적 벌을 완전히 제거한다,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.841,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,고해성사는 그리스도에 의해 제정되었다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.841,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,"무슬림은 아브라함의 신앙을 지니고 있다고 공언하며, 유일하신 하느님을 경배한다",세례 없이도 믿음만으로 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.84,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,고해성사는 그리스도에 의해 제정되었다,교황에 대한 복종 없이도 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.839,CCC-1996,은총은 무상의 선물,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,은총은 하느님이 거저 주시는 무상의 선물이다,세례 없이도 믿음만으로 구원받을 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.839,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,선한 행위를 통해 영광의 증가를 참으로 얻을 수 있다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,F2_RUPTURE | F3_TOLLENS | F4_ACTION_DOC | F6_RETORSION,COMBO-03_SALVATION
0.838,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,세례는 선택 사항이 아니라 의무이다,세례를 실제로 받지 않은 자는 어떤 경우에도 구원받을 수 없다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.836,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,이단이나 동거 불가를 이유로 혼인이 해소될 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.836,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,고해성사 이전에도 대죄의 용서가 가능하다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.836,CCC-2068,계명 준수로 구원,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.836,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-0491,마리아 무염시태,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,원죄의 보편적 전달에 예외가 없다,F1_REDUCTIO | F2_RUPTURE | F4_ACTION_DOC | F8_SILENCE,COMBO-01_MARIOLOGY
0.836,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,FIDUCIA-SUPPLICANS,동성 커플 축복 허용,신적 섭리는 이런 사람들에게 구원에 필요한 도움을 거부하지 않는다,비정규적 결합에 있는 사람에 대해 어떤 형태의 축복도 줄 수 없다는 명제,F2_RUPTURE | F4_ACTION_DOC,COMBO-05_MORAL_COLLAPSE
0.833,CCC-0847,교회 밖 구원 가능성,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,자기 잘못 없이 그리스도와 교회를 모르는 자도 구원받을 수 있다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.833,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,CCC-1452,완전한 통회 (Contritio Perfecta),세례는 선택 사항이 아니라 의무이다,내적 통회만으로는 어떤 죄도 용서될 수 없다,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.832,CCC-2181,주일 미사 의무,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,고의로 미사 의무를 이행하지 않는 것은 대죄이다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.832,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-0402,원죄의 보편적 전달,선한 행위를 통해 영원한 생명을 참으로 얻을 수 있다,인간은 본래 죄 없는 상태로 태어난다,F1_REDUCTIO | F2_RUPTURE | F4_ACTION_DOC,COMBO-04_PURGATORY
0.831,CCC-1257,세례의 필수성,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,교회는 세례 외에 구원의 다른 수단을 알지 못한다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.831,CCC-1471,면죄부 (Indulgentia),FIDUCIA-SUPPLICANS,동성 커플 축복 허용,면죄부는 합당한 조건을 갖춘 신자에게 적용된다,비정규적 결합에 있는 사람에 대해 어떤 형태의 축복도 줄 수 없다는 명제,F4_ACTION_DOC | F5_GOALPOST,COMBO-05_MORAL_COLLAPSE
0.83,CCC-1861,대죄와 은총 상실,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,회개하지 않은 대죄는 영원한 지옥의 벌을 가져온다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.83,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,CCC-0491,마리아 무염시태,세례는 선택 사항이 아니라 의무이다,원죄의 보편적 전달에 예외가 없다,F1_REDUCTIO | F2_RUPTURE | F3_TOLLENS | F8_SILENCE,COMBO-01_MARIOLOGY
0.83,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,신적 섭리는 이런 사람들에게 구원에 필요한 도움을 거부하지 않는다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.829,CCC-0847,교회 밖 구원 가능성,CCC-1257,세례의 필수성,자기 잘못 없이 그리스도와 교회를 모르는 자도 구원받을 수 있다,성사는 구원에 불필요한 외적 의식일 뿐이다,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.829,CCC-2068,계명 준수로 구원,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.829,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,CCC-0402,원죄의 보편적 전달,고해성사는 그리스도에 의해 제정되었다,인간은 본래 죄 없는 상태로 태어난다,F1_REDUCTIO | F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.828,CCC-0847,교회 밖 구원 가능성,CCC-1257,세례의 필수성,구원의 조건은 진실한 마음으로 하느님을 찾는 것이다,성사는 구원에 불필요한 외적 의식일 뿐이다,F2_RUPTURE | F3_TOLLENS | F5_GOALPOST,COMBO-03_SALVATION
0.828,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,CCC-0491,마리아 무염시태,선한 행위를 통해 영광의 증가를 참으로 얻을 수 있다,원죄의 보편적 전달에 예외가 없다,F1_REDUCTIO | F2_RUPTURE | F4_ACTION_DOC | F8_SILENCE,COMBO-01_MARIOLOGY
0.826,CCC-1861,대죄와 은총 상실,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,회개하지 않은 대죄는 영원한 지옥의 벌을 가져온다,고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
0.824,CCC-1452,완전한 통회 (Contritio Perfecta),CCC-0491,마리아 무염시태,완전한 통회는 소죄의 용서를 가져온다,원죄의 보편적 전달에 예외가 없다,F1_REDUCTIO | F3_TOLLENS | F8_SILENCE,COMBO-01_MARIOLOGY
0.824,CCC-2181,주일 미사 의무,CCC-0491,마리아 무염시태,중대한 이유가 있으면 이 의무에서 면제될 수 있다,원죄의 보편적 전달에 예외가 없다,F1_REDUCTIO | F8_SILENCE,COMBO-01_MARIOLOGY
0.824,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,선한 행위를 통해 영광의 증가를 참으로 얻을 수 있다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,F2_RUPTURE | F3_TOLLENS | F4_ACTION_DOC | F6_RETORSION,COMBO-03_SALVATION
0.824,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,신적 섭리는 이런 사람들에게 구원에 필요한 도움을 거부하지 않는다,세례가 구원에 필수가 아니라는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.823,CCC-2068,계명 준수로 구원,CCC-0491,마리아 무염시태,행해야 할 것과 피해야 할 것 모두 구원에 관련된다,원죄의 보편적 전달에 예외가 없다,F1_REDUCTIO | F8_SILENCE,COMBO-01_MARIOLOGY
0.822,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,간통을 이유로 혼인의 유대가 해소될 수 있다는 명제,F2_RUPTURE | F3_TOLLENS,COMBO-03_SALVATION
0.822,CCC-1471,면죄부 (Indulgentia),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,면죄부는 이미 용서받은 죄에 대한 시간적 벌의 감면이다,사제 없이 하느님께 직접 고백하면 죄가 사해진다는 명제,F2_RUPTURE | F3_TOLLENS | F6_RETORSION,COMBO-03_SALVATION
